Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
43,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1.34,0.23,0,0.18,1.74
44,NBA 2K15,2014,Sports,2K Sports,1.39,0.18,0,0.18,1.74
45,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74
46,Far Cry 4,2014,Shooter,Ubisoft,0.85,0.68,0.02,0.14,1.68
47,Watch Dogs,2014,Action-Adventure,Ubisoft,0.91,0.59,0,0.15,1.64
48,Dead Rising 3,2013,Action,Microsoft Studios,1.06,0.4,0.01,0.15,1.63
49,Tom Clancy's Ghost Recon Wildlands,2017,Shooter,Ubisoft,0.98,0.48,0,0.15,1.61
50,Madden NFL 15,2014,Sports,EA Sports,1.34,0.1,0,0.17,1.6
51,Rise of the Tomb Raider,2015,Adventure,Square Enix,0.61,0.82,0.03,0.12,1.58
52,Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,0.97,0.46,0,0.14,1.58
53,Forza Motorsport 7,2017,Racing,Microsoft Studios,0.58,0.81,0.01,0.12,1.52
54,Dying Light,2015,Action,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47
55,Ryse,2013,Action,Microsoft Studios,0.84,0.49,0,0.13,1.47
56,Forza Horizon 2,2014,Racing,Microsoft Studios,0.56,0.79,0.01,0.11,1.46
57,Doom (2016),2016,Shooter,Bethesda Softworks,0.76,0.57,0,0.13,1.45
58,Assassin's Creed Syndicate,2015,Action,Ubisoft,0.71,0.61,0,0.12,1.44
59,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42
60,Rocket League,2016,Sports,505 Games,0.52,0.75,0,0.11,1.38
61,The Elder Scrolls Online,2015,MMO,Bethesda Softworks,0.86,0.39,0,0.13,1.38
62,Titanfall 2,2016,Shooter,Electronic Arts,0.88,0.37,0,0.13,1.37
63,Watch Dogs 2,2016,Action,Ubisoft,0.71,0.53,0,0.12,1.35
64,FIFA Soccer 14,2013,Sports,EA Sports,0.44,0.78,0,0.1,1.31
65,Destiny: The Taken King,2015,Shooter,Activision,0.91,0.23,0,0.12,1.27
66,Battlefield: Hardline,2015,Shooter,Electronic Arts,0.73,0.39,0.01,0.11,1.24
67,Sunset Overdrive,2014,Action,Microsoft Studios,0.64,0.42,0,0.1,1.16
68,Middle-Earth: Shadow of War,2017,Action,Warner Bros. Interactive Entertainment,0.75,0.29,0,0.11,1.15
69,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.44,0,0.1,1.15
70,Final Fantasy XV,2016,Role-Playing,Square Enix,0.72,0.3,0.01,0.11,1.14
71,Mafia III,2016,Action-Adventure,2K Games,0.54,0.48,0,0.09,1.11
72,Diablo III,2014,Role-Playing,Blizzard Entertainment,0.62,0.32,0,0.09,1.04
73,Just Cause 3,2015,Action-Adventure,Square Enix,0.52,0.41,0,0.09,1.01
74,Far Cry: Primal,2016,Action-Adventure,Ubisoft,0.51,0.41,0,0.09,1
75,Dragon Age III: Inquisition,2014,Role-Playing,Electronic Arts,0.63,0.27,0,0.09,0.99
76,Sea of Thieves,2018,Action-Adventure,Microsoft Studios,0.6,0.27,0,0.09,0.96
77,NBA 2K14,2013,Sports,2K Sports,0.72,0.12,0,0.09,0.94
78,Monster Hunter: World,2018,Action,Capcom,0.67,0.17,0,0.09,0.93
79,Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.65,0.16,0,0.09,0.89
80,Resident Evil VII: Biohazard,2017,Action,Capcom,0.51,0.3,0,0.08,0.89
81,For Honor,2017,Action,Ubisoft,0.57,0.21,0,0.08,0.87
82,Dishonored 2,2016,Action,Bethesda Softworks,0.47,0.31,0,0.08,0.86
83,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,0.47,0.32,0,0.08,0.86
84,Madden NFL 25,2013,Sports,EA Sports,0.69,0.06,0,0.09,0.83
85,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83
86,Guitar Hero Live,2015,Music,Activision,0.52,0.23,0,0.08,0.83
87,Dark Souls III,2016,Role-Playing,Namco Bandai Games,0.56,0.15,0,0.08,0.79
88,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.44,0.27,0,0.07,0.78
89,Rare Replay,2015,Misc,Microsoft Studios,0.42,0.27,0.01,0.07,0.78
90,Mass Effect: Andromeda,2017,Role-Playing,Electronic Arts,0.5,0.2,0,0.07,0.78
91,Minecraft: Story Mode,2015,Adventure,Mojang,0.46,0.24,0,0.07,0.77
92,Fortnite,2017,Action,Gearbox Software,0.6,0.09,0,0.08,0.77
93,Quantum Break,2016,Action,Microsoft Studios,0.42,0.25,0.02,0.07,0.76
94,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.39,0.3,0,0.06,0.75
95,Rock Band 4,2015,Music,Harmonix Music Systems,0.62,0.05,0,0.08,0.75
96,Need for Speed (2015),2015,Racing,Electronic Arts,0.35,0.33,0,0.06,0.74
97,The Sims 4,2017,Simulation,Electronic Arts,0.42,0.24,0,0.07,0.73
98,Need for Speed: Payback,2017,Racing,Electronic Arts,0.42,0.24,0,0.07,0.73
99,Dead Rising 4,2016,Action-Adventure,Microsoft Studios,0.41,0.25,0,0.06,0.73
100,LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.18,0,0.07,0.72
101,The Crew,2014,Racing,Ubisoft,0.32,0.34,0,0.06,0.71
102,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.39,0.25,0,0.06,0.71
103,Need for Speed Rivals,2013,Racing,Electronic Arts,0.45,0.19,0,0.07,0.7
104,Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,0.45,0.19,0,0.07,0.7
105,The Evil Within,2014,Misc,Bethesda Softworks,0.36,0.27,0,0.06,0.69
106,LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,0.28,0.35,0,0.05,0.69
107,Borderlands: The Handsome Collection,2015,Shooter,2K Games,0.49,0.13,0,0.07,0.68
108,Evolve,2015,Shooter,2K Games,0.4,0.2,0,0.06,0.67
109,WWE 2K18,2017,Sports,2K Sports,0.35,0.25,0,0.06,0.66
110,Tomb Raider (2013),2014,Action-Adventure,Square Enix,0.38,0.22,0,0.06,0.66
111,The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.42,0.17,0,0.06,0.65
112,WWE 2K16,2015,Sports,Take-Two Interactive,0.34,0.24,0,0.06,0.63
113,Kinect Sports Rivals,2014,Sports,Microsoft Studios,0.3,0.25,0.02,0.05,0.62
114,South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,0.4,0.17,0,0.06,0.62
115,WWE 2K15,2014,Sports,2K Sports,0.32,0.23,0,0.05,0.61
116,EA Sports UFC 2,2016,Sports,EA Sports,0.36,0.19,0,0.06,0.61
117,NHL 17,2016,Sports,EA Sports,0.52,0.01,0,0.06,0.6
118,Tekken 7,2017,Fighting,Namco Bandai Games,0.3,0.23,0,0.05,0.58
119,LEGO Marvel Super Heroes 2,2017,Action,Warner Bros. Interactive Entertainment,0.32,0.2,0,0.05,0.57
120,WWE 2K17,2016,Sports,2K Games,0.26,0.26,0,0.05,0.57
121,Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,0.35,0.15,0,0.05,0.55
122,Just Dance 2015,2014,Music,Ubisoft,0.36,0.13,0,0.05,0.54
123,Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,0.38,0.09,0,0.05,0.52
124,Alien: Isolation,2014,Adventure,Sega,0.23,0.25,0,0.04,0.52
125,Halo Wars 2,2017,Strategy,Microsoft Studios,0.31,0.15,0,0.05,0.51
126,NHL 16,2015,Sports,EA Sports,0.41,0.05,0,0.05,0.51
127,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.24,0.22,0,0.04,0.5
128,Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,0.29,0.16,0,0.05,0.5
129,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.18,0,0.04,0.48
130,Zoo Tycoon (2013),2013,Simulation,Microsoft Studios,0.25,0.18,0,0.04,0.48
131,Steep,2016,Sports,Ubisoft,0.24,0.2,0,0.04,0.48
132,Thief 4,2014,Action,Square Enix,0.26,0.17,0,0.04,0.48
133,Just Dance 2014,2013,Music,Ubisoft,0.31,0.12,0,0.04,0.48
134,EA Sports UFC,2014,Fighting,Electronic Arts,0.3,0.13,0,0.04,0.48
135,BioShock The Collection,2016,Shooter,2K Games,0.35,0.08,0,0.05,0.48
136,Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,0.33,0.09,0,0.05,0.47
137,ARK: Survival Evolved,2017,Action-Adventure,Studio Wildcard,0.3,0.12,0,0.04,0.46
138,Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.3,0.12,0,0.04,0.46
139,Prey (2017),2017,Shooter,Bethesda Softworks,0.21,0.2,0,0.04,0.45
140,Skylanders: Trap Team,2014,Platform,Activision,0.34,0.07,0,0.04,0.45
141,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.17,0,0.04,0.44
142,EA Sports UFC 3,2018,Sports,EA Sports,0.3,0.1,0,0.04,0.44
143,Rocksmith 2014,2014,Music,Ubisoft,0.31,0.08,0,0.04,0.43
144,Sniper Elite 3,2014,Shooter,505 Games,0.27,0.12,0,0.04,0.43
145,Hello Neighbor,2017,Action,Gearbox Software,0.27,0.11,0,0.04,0.42
146,NHL 15,2014,Sports,EA Sports,0.32,0.06,0,0.04,0.42
147,Project CARS,2015,Racing,Bandai Namco Games,0.21,0.16,0,0.04,0.41
148,Destiny: The Collection,2016,Shooter,Activision,0.25,0.12,0,0.04,0.41
149,Skylanders: SuperChargers,2015,Action-Adventure,Activision,0.31,0.05,0,0.04,0.4
150,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.25,0.11,0,0.04,0.39
151,NHL 18,2017,Sports,EA Sports,0.32,0.03,0,0.04,0.39
152,The Evil Within II,2017,Action,Bethesda Softworks,0.25,0.1,0,0.04,0.39
153,Rayman Legends,2014,Platform,Ubisoft,0.13,0.22,0,0.03,0.38
154,Just Dance 2016,2015,Music,Ubisoft,0.3,0.04,0,0.04,0.38
155,Skylanders SWAP Force,2013,Misc,Activision,0.25,0.07,0,0.03,0.35
156,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,0.25,0.07,0,0.03,0.35
157,Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,0.21,0.11,0,0.03,0.35
158,Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,0.26,0.05,0,0.03,0.34
159,Just Dance 2017,2016,Music,Ubisoft,0.25,0.05,0,0.03,0.34
160,The Lego Ninjago Movie Videogame,2017,Action,Warner Bros. Interactive Entertainment,0.21,0.09,0,0.03,0.33
161,The Crew 2,2018,Racing,Ubisoft,0.2,0.1,0,0.03,0.33
162,Farming Simulator 17,2016,Simulation,Focus Home Interactive,0.19,0.11,0,0.03,0.33
163,METRO 2033,2014,Shooter,Deep Silver,0.15,0.14,0,0.03,0.31
164,Hitman (2016),2017,Action,Square Enix,0.2,0.08,0,0.03,0.31
165,LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,0.15,0.12,0,0.03,0.3
166,Final Fantasy Type-0,2015,Role-Playing,Square Enix,0.2,0.07,0,0.03,0.3
167,Sniper Elite 4,2017,Shooter,Rebellion Developments,0.18,0.09,0,0.03,0.3
168,Sonic Forces,2017,Platform,Sega,0.15,0.11,0,0.03,0.29
169,Dark Souls II,2015,Role-Playing,Namco Bandai Games,0.19,0.07,0,0.03,0.28
170,Battleborn,2016,Shooter,2K Games,0.2,0.05,0,0.03,0.28
171,Rory McIlroy PGA Tour,2015,Sports,Electronic Arts,0.16,0.09,0,0.02,0.28
172,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.13,0.12,0,0.02,0.27
173,LEGO The Hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.13,0.13,0,0.02,0.27
174,Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,Konami Digital Entertainment,0.13,0.13,0,0.02,0.27
175,Minecraft: Story Mode - Season Two,2017,Adventure,Telltale Games,0.17,0.08,0,0.02,0.27
176,Skylanders Imaginators,2016,Platform,Activision,0.19,0.05,0,0.03,0.27
177,Friday the 13th: The Game,2017,Action,Gun Media,0.21,0.03,0,0.03,0.27
178,ReCore,2016,Action-Adventure,Microsoft Studios,0.16,0.06,0.01,0.02,0.26
179,F1 2015,2015,Racing,Codemasters,0.09,0.15,0,0.02,0.25
180,L.A. Noire,2017,Adventure,Rockstar Games,0.14,0.09,0,0.02,0.25
181,Trials Fusion,2014,Racing,Ubisoft,0.12,0.1,0,0.02,0.25
182,Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,0.16,0.06,0,0.02,0.24
183,Zumba Fitness: World Party,2013,Misc,Majesco Entertainment,0.17,0.05,0,0.02,0.24
184,Saints Row IV,2015,Action,Deep Silver,0.13,0.09,0,0.02,0.24
185,Farming Simulator 2015,2015,Simulation,Koch Media,0.13,0.09,0,0.02,0.24
186,A Way Out,2018,Action,Electronic Arts,0.17,0.05,0,0.02,0.24
187,NBA Live 14,2013,Sports,EA Sports,0.19,0.02,0,0.02,0.24
188,Payday 2,2015,Shooter,505 Games,0.14,0.07,0,0.02,0.23
189,DiRT 4,2017,Racing,Codemasters,0.11,0.1,0,0.02,0.23
190,NBA Live 15,2014,Sports,Electronic Arts,0.18,0.02,0,0.02,0.22
191,F1 2016 (Codemasters),2016,Racing,Codemasters,0.09,0.12,0,0.02,0.22
192,Deadpool,2015,Action,Activision,0.17,0.03,0,0.02,0.22
193,The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,0.12,0.08,0,0.02,0.22
194,Kingdom Come: Deliverance,2018,Role-Playing,Deep Silver,0.14,0.06,0,0.02,0.22
195,Lords of the Fallen,2014,Role-Playing,Square Enix,0.1,0.1,0,0.02,0.22
196,Super Lucky's Tale,2017,Platform,Microsoft Studios,0.13,0.07,0,0.02,0.22
197,DiRT Rally,2016,Racing,Codemasters,0.12,0.08,0,0.02,0.21
198,Just Dance 2018,2017,Music,Ubisoft,0.15,0.04,0,0.02,0.21
199,Homefront: The Revolution,2016,Shooter,Deep Silver,0.1,0.09,0,0.02,0.21
200,State of Decay,2015,Action-Adventure,Microsoft Studios,0.14,0.05,0,0.02,0.21
201,NBA Live 18,2017,Sports,EA Sports,0.18,0,0,0.02,0.21
202,theHunter: Call of the Wild,2017,Shooter,Astragon,0.18,0,0,0.02,0.21
203,Sleeping Dogs,2014,Action-Adventure,Square Enix,0.1,0.09,0,0.02,0.2
204,Project CARS 2,2017,Racing,Namco Bandai Games,0.01,0.18,0,0.01,0.2
205,Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0,0.02,0.2
206,Dishonored,2015,Action,Bethesda Softworks,0.13,0.05,0,0.02,0.19
207,One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.11,0.07,0,0.02,0.19
208,Fantasia: Music Evolved,2014,Music,Disney Interactive Studios,0.14,0.03,0,0.02,0.19
209,Mirror's Edge 2,2016,Platform,Electronic Arts,0.11,0.06,0,0.02,0.19
210,Dance Central: Spotlight,N/A,Music,,0.15,0.03,0,0,0.19
211,Naruto to Boruto: Shinobi Striker,2018,Action,Bandai Namco Games,0.17,0,0,0.02,0.19
212,XCOM 2,2016,Strategy,2K Games,0.15,0.02,0,0.02,0.19
213,F1 2017,2017,Racing,Koch Media,0.04,0.13,0,0.01,0.19
214,Shape Up,2014,Sports,Ubisoft,0.08,0.09,0,0.01,0.18
215,Cities: Skylines,2017,Simulation,Deep Silver,0.13,0.03,0,0.02,0.18
216,Sniper: Ghost Warrior 3,2017,Shooter,City Interactive,0.11,0.05,0,0.02,0.18
217,Project Spark (Working Title),2014,Misc,Microsoft Studios,0.11,0.05,0,0.02,0.17
218,Rush: A Disney Pixar Adventure,2017,Adventure,Microsoft Studios,0.15,0,0,0.02,0.17
219,Fighter Within,2013,Fighting,Ubisoft,0.08,0.07,0,0.01,0.17
220,Murdered: Soul Suspect,2014,Action-Adventure,Square Enix,0.08,0.07,0,0.01,0.17
221,Pac-Man Championship Edition 2 + Arcade Game Series,2016,Action,Namco Bandai Games,0.15,0,0,0.02,0.16
222,Angry Birds: Star Wars,2013,Puzzle,Activision,0.11,0.04,0,0.02,0.16
223,Little Nightmares,2017,Platform,Namco Bandai Games,0.12,0.03,0,0.02,0.16
224,The Walking Dead: Season One,2014,Adventure,Telltale Games,0.08,0.06,0,0.01,0.16
225,Wolfenstein: The Old Blood,2015,Shooter,Bethesda Softworks,0.07,0.07,0,0.01,0.15
226,Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,0.04,0.1,0,0.01,0.15
227,Transformer: Rise of the Dark Spark,2014,Shooter,Activision,0.1,0.03,0,0.01,0.15
228,The Escapists 2,2017,Action,Sold Out,0.05,0.08,0,0.01,0.15
229,Transformers: Devastation,2015,Action,Activision,0.1,0.04,0,0.01,0.15
230,Spintires: MudRunner,2017,Simulation,Focus Home Interactive,0.11,0.02,0,0.01,0.15
231,DmC: Devil May Cry,2015,Action,Capcom,0.09,0.04,0,0.01,0.15
232,Attack on Titan (KOEI),2016,Action,Tecmo Koei,0.06,0.07,0,0.01,0.15
233,Tony Hawk's Pro Skater 5,2015,Sports,Activision,0.11,0.02,0,0.01,0.14
234,Naruto Shippuden: Ultimate Ninja Storm Legacy,2017,Fighting,Namco Bandai Games,0.11,0.02,0,0.01,0.14
235,The Walking Dead: Season Two,2014,Misc,Telltale Games,0.08,0.05,0,0.01,0.14
236,Resident Evil: Revelations 2,2015,Action,Capcom,0.1,0.02,0,0.01,0.14
237,Dishonored: Death of the Outsider,2017,Action,Bethesda Softworks,0.07,0.06,0,0.01,0.14
238,Ultimate Marvel vs. Capcom 3,2017,Fighting,Capcom,0.12,0,0,0.01,0.14
239,The Elder Scrolls Online: Morrowind,2017,MMO,Bethesda Softworks,0.09,0.03,0,0.01,0.14
240,Hasbro Family Fun Pack,2015,Misc,Ubisoft,0.1,0.02,0,0.01,0.13
241,Rocksmith 2014 Edition Remastered,2016,Music,Ubisoft,0.12,0,0,0.01,0.13
242,Song of the Deep,2016,Action,Insomniac Games,0.12,0,0,0.01,0.13
243,NBA Live 16,2015,Sports,EA Sports,0.11,0.01,0,0.01,0.13
244,Outlast Trinity,2017,Action,Warner Bros. Interactive Entertainment,0.1,0.02,0,0.01,0.13
245,Sonic Mania,2017,Platform,Sega,0.09,0.03,0,0.01,0.13
246,Dead by Daylight,2017,Action,505 Games,0.08,0.03,0,0.01,0.12
247,Darksiders III,2018,Action,THQ Nordic,0.11,0,0,0.01,0.12
248,Vampyr,2018,Role-Playing,Focus Home Interactive,0.07,0.04,0,0.01,0.12
249,The Walking Dead - The Telltale Series: A New Frontier,2017,Adventure,Warner Bros. Interactive Entertainment,0.1,0.01,0,0.01,0.12
250,NASCAR Heat 2,2017,Racing,505 Games,0.11,0,0,0.01,0.12
251,Life is Strange,2016,Adventure,Square Enix,0.08,0.03,0,0.01,0.12
252,Wolfenstein The Two Pack,2017,Shooter,Bethesda Softworks,0.11,0,0,0.01,0.12
253,The Surge,2017,Action,Koch Media,0.07,0.04,0,0.01,0.12
254,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017,Fighting,Namco Bandai Games,0.11,0,0,0.01,0.12
255,Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.05,0.06,0,0.01,0.12
256,Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,0.06,0.05,0,0.01,0.12
257,7 Days to Die,2016,Action,Telltale Games,0.09,0.02,0,0.01,0.12
258,Zombie Army Trilogy,2015,Shooter,Rebellion Developments,0.05,0.05,0,0.01,0.12
259,Prototype: Biohazard Bundle,2016,Action,Activision,0.1,0,0,0.01,0.11
260,Ride,2015,Racing,Milestone S.r.l.,0.05,0.05,0,0.01,0.11
261,Agents of Mayhem,2017,Action,Deep Silver,0.07,0.03,0,0.01,0.11
262,Metal Gear Solid V: The Definitive Experience,2016,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11
263,Killer Instinct (2013),2014,Fighting,Microsoft Studios,0.07,0.03,0,0.01,0.11
264,MXGP 2,2016,Racing,Milestone S.r.l.,0.07,0.02,0,0.01,0.1
265,NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,0.09,0,0,0.01,0.1
266,TrackMania Turbo,2016,Racing,Ubisoft,0.05,0.04,0,0.01,0.1
267,Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,0.06,0.03,0,0.01,0.1
268,Dead or Alive 5,2015,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.1
269,Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.05,0.03,0,0.01,0.1
270,Resident Evil Zero,2016,Action-Adventure,Capcom,0.07,0.02,0,0.01,0.1
271,Sword Art Online: Fatal Bullet,2018,Role-Playing,Namco Bandai Games,0.09,0,0,0.01,0.1
272,Yooka-Laylee,2017,Platform,Sold Out,0.05,0.04,0,0.01,0.1
273,Real Farm,2017,Simulation,Soedesco,0.08,0,0,0.01,0.1
274,We Happy Few,2018,Action-Adventure,Gearbox Software,0.07,0.01,0,0.01,0.09
275,Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,Gearbox Software,0.08,0,0,0.01,0.09
276,The Wolf Among Us,2014,Adventure,Telltale Games,0.06,0.02,0,0.01,0.09
277,Attack on Titan 2,2018,Action,Koei Tecmo,0.08,0,0,0.01,0.09
278,Rugby 15,2015,Sports,Bigben Interactive,0.03,0.05,0,0.01,0.09
279,MXGP 3: The Official Motocross Videogame,2017,Racing,Milestone,0.06,0.02,0,0.01,0.09
280,Bladestorm: Nightmare,2015,Action,Tecmo Koei,0.06,0.02,0,0.01,0.08
281,Monster Energy Supercross - The Official Videogame,2018,Racing,Milestone S.r.l.,0.08,0,0,0.01,0.08
282,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017,Misc,Ubisoft,0.08,0,0,0.01,0.08
283,Dead Island Definitive Collection,2016,Action,Deep Silver,0.05,0.03,0,0.01,0.08
284,Ride 2,2016,Racing,Milestone S.r.l,0.06,0.01,0,0.01,0.08
285,Elite: Dangerous,2017,Simulation,Frontier Developments,0.07,0,0,0.01,0.08
286,Just Dance: Disney Party 2,2015,Music,Ubisoft,0.06,0.01,0,0.01,0.08
287,Bulletstorm: Full Clip Edition,2017,Shooter,Gearbox Software,0.06,0.01,0,0.01,0.08
288,Micro Machines: World Series,2017,Racing,Codemasters,0.02,0.05,0,0.01,0.08
289,Darksiders II,2015,Action-Adventure,Nordic Games,0.05,0.03,0,0.01,0.08
290,Sherlock Holmes: Crimes & Punishments,2014,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08
291,Toy Soldiers: War Chest,2015,Action,Ubisoft,0.07,0,0,0.01,0.08
292,BlazBlue: Chrono Phantasma Extend,2015,Fighting,PQube,0.06,0.01,0,0.01,0.08
293,Metal Gear Survive,2018,Action,Konami Digital Entertainment,0.05,0.01,0,0.01,0.08
294,The Golf Club,2015,Sports,Ravenscourt,0.07,0,0,0.01,0.07
295,Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.06,0.01,0,0.01,0.07
296,Constructor HD,2017,Strategy,System 3,0.07,0,0,0.01,0.07
